"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"27","32","Blue whiting(=Poutassou)","Micromesistius poutassou","22000","17600","4800","6600","7300","8100","17400","12300","13900","16800","17700","8600","7400","14500","15400","18000","20700","23000","20900","31200","32000","71800","34300","34800","30512","54581","112592","236686","540823","1083771","1093045","894834","540757","528318","600690","659169","804271","693299","660573","654785","567197","436401","459029","531582","474570","526380","613306","691246","1152677","1297665","1445788","1793954","1557688","2373127","2419291","2059628","2023766","1672691","1277111.8599999999","635160.354","546022.508","102503","375649","627806","1158005.19","1411963","1188275","1557179","1708311","1513262.4399999997"
"27","23","Atlantic salmon","Salmo salar","8100","7400","7500","6700","7700","6500","6900","7600","7200","6700","7000","7500","9200","8200","10399","8898","8096","9792","9485","8973","8506","7386","8441","10028","10244","9674","7185","6787","5477","6279","7364","7406","6072","7414","7559","8114","6899","6570","6597","6439","7241","6291","6422","5799","4935","4455","4372","3895","3370","2420","2747","2600","2167","1999","2365","2014","1603","1392","1196.275","1191.953","1066.629","1112","1073","906","925.2","625","610","512","595.611","585.306"
"27","31","European plaice","Pleuronectes platessa","100400","100400","108100","112800","102500","104600","102500","105700","112200","120600","133500","148900","155600","164100","173000","154400","160700","168600","171900","180300","185800","194700","189700","182100","165810","159696","169649","185569","162506","163888","145246","133823","150881","145123","162197","203613","182129","185022","190069","193198","202510","184564","166009","157982","152463","136307","117699","121421","103586","113421","113233","110907","99204","93032","87979","76625","83204","75858","74177.707","78514.55","91483.364","97111","100332","108760","100790.69","107550","116699","103472","89563","80118.87"
"27","32","Saithe(=Pollock)","Pollachius virens","176200","192800","219800","204600","189000","184000","218500","244000","247300","219300","213800","218200","233500","268200","351500","372100","413700","397500","335900","425200","617000","654100","618400","621300","723652","669217","711345","503912","407606","394294","376842","420570","457466","448256","492889","439047","388047","409222","391181","374413","366489","385704","354716","385484","357483","358182","342493","302375","309096","327192","301941","319283","376495","377204","388776","444125","484648","429165","440171.52","397238.651","390593.387","335252","324312","299676","280971.19","286537","291898","321039","362545","342587.537"
"27","32","Norway pout","Trisopterus esmarkii","0","0","0","0","0","0","0","0","0","18800","24300","46000","173100","185700","109300","77000","73200","197500","498700","170000","308400","400000","527100","503200","877910","694439","644067","498296","437363","428734","552572","349583","522763","548550","519863","344693","284519","339344","276807","351914","295634","303371","452926","324318","291005","389800","275667","211394","97478","112613","204845","90837","107879","37833","22513","354","54348","4809","39221.936","57260.348","137079.66999999998","7348","32919","85850","48395.89","64056","63376","34048","36243","101302.167"
"27","32","Whiting","Merlangius merlangus","73400","99500","106600","99800","113900","126000","123300","142100","136900","161800","123800","165000","147900","178900","159600","182900","238500","185500","255700","277000","226500","165200","160100","210600","263813","220129","278419","191599","203139","219481","177768","196660","180196","169811","154329","148138","113269","118362","119016","89744","81662","83495","88187","93599","93508","89078","76536","72125","61051","61472","56493","49028","43543","36607","31709","33227","36938","35805","29427.235","31652.24","31424.683","35312","32545","34194","34238.58","38123","41229","35089","34217","34232.529"
"27","33","Sandeels(=Sandlances) nei","Ammodytes spp","0","0","0","0","10600","41800","89100","103900","100500","106900","126600","88300","140200","184300","131800","140900","180700","210300","201200","114500","191600","395400","364900","306800","532132","444812","517442","802829","780312","639928","788755","656775","658501","596775","739836","650058","973219","856595","1041998","1134330","753945","1021307","1066164","745264","1037517","1133233","858376","1242671","1039589","761879","740542","906300","917030","341284","389833","183926","300173","233220","363060.762","367578.623","422423.061","442778","106864","283237","269464.85","319419","80111","527408","271566","235341.03"
"27","32","Polar cod","Boreogadus saida","200","700","800","2400","1200","2600","1100","600","300","900","1200","1500","100","200","0","400","800","3500","2200","134400","243300","348100","167100","82200","123687","63162","12175","7964","5100","269","58","9284","90305","37316","5560","11230","599","145","10","217","63","113","20768","50638","6184","24030","20784","6826","3592","22005","40730","39445","37191","39451","1637","22447","16367","26870","8221","17167","27427.96","19549","54","13","2","2","1","2","1","12.469"
"27","34","Atlantic redfishes nei","Sebastes spp","161900","227500","208700","198600","222200","273500","246100","250700","207400","222800","227500","164700","141000","169600","212000","193900","169500","158500","144900","144500","129400","161300","143200","146400","184441","377869","501843","267140","183517","204298","210501","244590","354930","345116","295770","276203","256518","212337","229370","179070","192630","200768","182247","230440","278822","273884","246443","213969","213522","142989","72506","61684","58206","63779","43030","34784","48089","38254","18208.197","31839.623","15599.793","27151","20532","23023","16866","12685","13719","11391","12475","7927.475"
"27","35","Atlantic herring","Clupea harengus","1846700","2370000","2407700","2416800","2863400","2609600","2837400","2554400","2329200","2549300","2420000","2255700","2392200","2581700","3212000","3736100","3665600","3304500","2383800","1428000","1471100","1404500","1362200","1494100","1131898","1078385","855113","708447","642837","634584","661330","725776","789631","976431","1033941","1232009","1308341","1306129","1402910","1365277","1226220","1124475","1270331","1387529","1674600","2082181","2035630","2249403","2148648","2129641","2103709","1645085","1614755","1661405","1755118","2054769","1970964","2128350","2261053.726","2260443.637","1988665.2280000001","1571337","1649912","1597175","1423620.1","1318271","1458849","1665701","1680077.3","1474291.206"
