"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"37","56","Striped venus","Chamelea gallina","3100","3200","3200","3300","4200","4900","4700","4900","3800","4700","4400","5800","5400","5200","8800","9500","9300","12100","13200","15700","16192","12605","17455","11239","29455","52913","40577","15993","14212","24103","29677","21456","33546","35153","39176","26010","27440","41442","37653","39051","35512","40230","55141","60276","51744","45155","48060","36239","32811","40421","44580","42657","36592","61913","54618","26192","68260","76419","62244","42220","47026","50006","81396","42799","36097","52174","37345","46830","58665","52716.09"
"37","35","Sardinellas nei","Sardinella spp","8900","9100","9400","8700","11300","9000","11000","11000","9700","10600","10300","10400","13800","14600","10800","11200","6200","7700","5300","6000","5200","7153","6010","4435","7405","3206","2092","4800","5784","10213","9342","10830","7117","8890","11308","14397","14224","12919","14745","20362","26313","28821","29814","35152","35430","44754","35562","46553","51621","70018","61694","82268","59784","56616","55264","54504","58569","60677","63962","46163","41257","44327","49115","42851","43116","41512","45074.984","44842.016","46618","46335.210999999996"
"37","36","Plain bonito","Orcynopsis unicolor","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","48","4","3","3","7","6","3","7","0","0","135","153","28","0","0","0","0","0","9","1","26","8","7","37","101","176","252","176","115","132","227","130","217","145","154","137","23","11","7","3","172","107","33","21","41","24","21","13","1078","62.17","37.316","22","50.443"
"37","36","Atlantic bluefin tuna","Thunnus thynnus","5797","5608","5354","6842","6710","6232","5150","7004","6545","5454","5065","5864","4794","6660","6295","5997","5326","8744","7933","8690","4694","6195","5954","6051","13056","11266","17306","11797","8846","7456","10039","10515","15706","13650","17032","19296","16015","13794","17151","15621","17245","19868","24294","24716","39799","37560","38004","33718","28778","22860","23108","24438","23053","23620","23812","26076","23328","25818","15745","13356","6978","6229","7101.039000000001","9080.496","9343.525","11360","13161","16470","19704","21674.1"
"37","36","Swordfish","Xiphias gladius","1586","1580","1837","1500","1952","1840","1893","2000","2914","2200","3100","3194","3288","3294","2382","3748","3752","3217","3440","3723","3341","4975","5958","4807","5034","4304","4669","5308","5975","5557","6579","6814","6343","6896","13666","15293","16765","18320","20365","17763","16018","15746","14726","13267","16084","13017","12054","14676","14356","13686","15567","15009","12828","16589","14436","14906","14919","14249","12206","11889","13320","11494","10226","9421","10231","11188","11381","8835","7694","8009.405"
"37","37","Jack and horse mackerels nei","Trachurus spp","14000","10500","11400","17800","27400","25600","34800","40400","63200","51200","40400","32600","34000","37400","36700","25600","22400","26200","24000","21900","22819","25988","43794","31577","23899","25283","46187","32077","22827","24693","22584","20125","26628","33708","35583","70427","32276","31559","26884","26196","19662","20262","20397","21574","25785","29343","24446","27209","24088","28818","31699","31764","26809","26458","27744","43651","64881","74096","73722","50591","40842","35938","35584","32949","24471","19429","23055.269","21864.446","27823","31000.566"
"37","45","Deep-water rose shrimp","Parapenaeus longirostris","7800","8600","6900","7000","6400","6800","7200","8700","8900","8500","8150","9400","6400","6200","8000","7900","7000","7100","7000","6800","7043","6705","7442","8998","10052","10108","9121","9683","9349","8676","8877","10104","10659","13646","19217","21517","17613","15597","17347","13922","23189","20869","19612","13361","13774","9816","9101","10119","8127","9261","12323","11100","10133","9489","7702","16326","16451","13483","13586","15569","15178","14936","15368","16052","15870","18283","19955.866","23950.876","25911","24015.203"
"37","45","Common prawn","Palaemon serratus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","2","4","3","97","3","10","0","0","0","1","1","4","1","5","0","4","5","6","1","1","1","5","0","37","40","35","89","9","0","0","97","26","0","23","15","11","31","22","16","17","13","13","15","21","96","42","8","8.11"
"37","57","Common cuttlefish","Sepia officinalis","2000","1500","1600","2000","2100","2000","2600","2600","2500","3800","5000","5000","4600","4800","5400","8500","3800","3900","5300","3800","830","735","1055","1893","1677","1999","3597","2317","2322","2444","2455","2652","3464","3061","4042","5484","6062","8219","12619","14193","13038","8616","10380","9833","9762","7737","7712","10745","8502","10650","8984","9944","12324","11764","10218","9826","10293","10901","8803","9131","10140","10551","12129","11110","9060","8635","9454.862000000001","11226.253","11848","11761.707"
"37","57","Common squids nei","Loligo spp","2700","2600","2900","2800","3400","4000","4100","4500","4400","4800","6800","7500","6200","6300","7500","9500","9800","8800","7800","7500","8303","8749","7926","6643","6984","7131","6701","6905","7676","7778","7909","6681","5496","6250","7203","7780","8130","8297","10604","11161","10588","8196","7936","7632","8382","7985","7591","6579","4690","4662","4490","4499","4425","3877","4655","5723","6004","5456","5436","5760","5593","5083","4673","4274","5071","4213","4464.326","4935.335","5181","4283.09"
"37","36","Albacore","Thunnus alalunga","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","500","500","500","500","500","500","500","701","500","500","500","882","613","590","833","500","1500","1272","1235","3414","4129","3712","3993","4063","4060","1896","2378","2202","2130","1349","1587","3125","2541","2698","4851","5578","4866","5608","7908","4914","3779","6080","6566","2970","4037","2144","4637","2047","1502","2401","3817","4396","3180","2872","2688.458"
"37","37","Atlantic chub mackerel","Scomber colias","1800","1500","1300","800","1000","900","600","700","800","800","1100","1200","1300","1400","2000","2200","1500","2300","2500","2400","2470","2482","1959","1369","1704","1829","3478","3852","4407","5389","6821","8124","12250","9197","10795","27873","32648","38776","37505","32952","25219","21278","24241","31086","35100","28712","21290","20903","16570","17598","16848","10751","9449","14121","18633","15898","13672","11275","11686","8464","7546","7785","6967","8533","8470","9555","11440","14152","12269","11154.89"
"37","57","Common octopus","Octopus vulgaris","3700","3700","3800","3800","5000","5800","5600","6200","8900","8000","7300","7600","6000","5800","9100","9100","10700","9300","10100","9700","8567","8294","9823","9147","10054","13046","13054","13353","13799","12639","14095","13142","12812","14098","15313","16119","18281","20418","26033","22590","20029","20848","23350","19266","16117","16526","17209","19346","16743","13393","14557","15378","15967","14258","15715","12857","11686","10664","8131","8947","10205","10627","10215","9927","10017","9374","9515","9972","12026","14784.6"
"37","24","Pontic shad","Alosa pontica","2300","3300","2100","2700","1000","1500","2100","1600","2600","2900","1700","2900","1900","1300","1600","3300","4200","2900","1100","1000","1502","1107","1004","1652","2803","3742","1116","709","333","583","494","473","1318","788","863","269","81","128","309","422","103","27","114","86","35","126","131","82","153","48","15","21","112","68","115","125","59","71","110","150","141","153","92","111","95","157","213","235","312","298.47499999999997"
