"ar_code","isscaap","english_name","scientific_name","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"37","54","Mediterranean mussel","Mytilus galloprovincialis","110000","110000","114000","112000","141000","167000","166900","161500","170500","180000","166000","163000","218000","246000","316000","281000","181000","191000","167000","178000","22190N","26655N","268360","215620","14010N","14474N","15489N","13469N","135940","207220","249190","255860","28096N","256490","198120","187550","198310","321270","285030","284750","289290","328040","387160","390500","34032N","40764N","39046N","53310N","38899N","44453E","46083E","46060N","51452N","510440","412640","126380","97020","2603N","1109N","80220","2012N","24740","28110","1577N","1080N","1162N","1044N","1410N","2060N","2961.937E"
"37","56","Striped venus","Chamelea gallina","31000","32000","32000","33000","42000","49000","47000","49000","38000","47000","44000","58000","54000","52000","88000","95000","93000","121000","132000","157000","161920","126050","174550","112390","294550","529130","405770","159930","142120","24103N","29677N","21456N","33546N","35153N","39176N","26010N","274400","414420","376530","390510","35512E","40230E","55141E","60276E","51744E","45155N","48060N","362390","328110","404210","44580N","426570","365920","619130","546180","261920","682600","764190","622440","422200","470260","500060","81396N","427990","360970","521740","373450","468300","586650","52716.090"
"37","35","Sardinellas nei","Sardinella spp","89000","91000","94000","87000","113000","90000","110000","110000","97000","106000","103000","104000","138000","146000","108000","112000","62000","77000","53000","60000","52000","71530","60100","44350","74050","32060","20920","48000","57840","102130","9342E","10830E","7117E","8890E","11308E","14397E","14224E","12919E","14745E","20362E","26313E","28821E","29814E","35152E","35430E","44754E","355620","465530","516210","70018E","61694E","82268E","597840","566160","552640","545040","585690","606770","639620","461630","412570","44327E","49115E","42851E","43116E","41512E","45074.984E","44842.016E","46618E","46335.210999999996E"
"37","36","Plain bonito","Orcynopsis unicolor","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","10","10","480","40","30","30","70","60","30","70","00","00","1350","1530","280","00","00","00","00","00","90","10","260","80","70","370","1010","1760","252E","1760","1150","1320","2270","1300","2170","1450","1540","1370","230","110","70","30","1720","1070","330","210","410","240","210","130","10780","62.170","37.3160","220","50.4430"
"37","36","Atlantic bluefin tuna","Thunnus thynnus","57970","56080","53540","68420","67100","62320","5150E","70040","6545E","54540","5065E","5864E","4794N","6660N","6295N","5997N","53260","87440","79330","8690N","4694N","6195N","5954N","6051N","130560","112660","173060","117970","88460","74560","10039E","10515E","15706E","13650N","17032E","19296N","16015E","13794E","17151E","156210","17245E","19868E","24294N","24716N","39799N","375600","380040","337180","287780","228600","231080","244380","230530","236200","23812N","260760","233280","258180","157450","13356N","69780","6229N","7101.039000000001N","9080.496N","9343.525N","113600","131610","16470E","19704E","21674.1E"
"37","36","Swordfish","Xiphias gladius","15860","15800","18370","15000","19520","18400","18930","20000","29140","22000","31000","31940","32880","32940","2382N","3748N","3752N","3217N","3440N","3723N","3341N","4975N","5958N","4807N","5034N","43040","46690","53080","59750","55570","6579E","6814E","6343E","6896E","13666E","15293E","167650","183200","203650","177630","160180","157460","147260","132670","160840","13017N","120540","14676N","143560","136860","155670","150090","128280","16589N","144360","149060","149190","142490","122060","118890","133200","11494E","102260","94210","10231N","111880","113810","8835N","7694N","8009.4050"
"37","37","Jack and horse mackerels nei","Trachurus spp","14000N","10500N","114000","178000","274000","256000","348000","404000","632000","512000","404000","326000","340000","374000","367000","256000","224000","262000","240000","219000","228190","259880","437940","315770","238990","252830","461870","320770","228270","246930","22584E","20125E","26628E","33708E","35583E","70427E","32276E","31559E","26884E","26196E","19662E","20262E","20397E","21574E","25785E","29343E","24446E","27209E","24088E","28818E","31699N","31764N","26809E","26458E","27744E","43651E","64881E","740960","737220","505910","40842E","35938E","35584E","32949N","24471E","19429N","23055.269N","21864.446N","27823N","31000.566N"
"37","45","Deep-water rose shrimp","Parapenaeus longirostris","78000","86000","69000","70000","64000","68000","72000","87000","89000","85000","81500","94000","64000","62000","80000","79000","70000","71000","70000","68000","70430","67050","7442N","8998N","10052N","10108N","91210","9683N","9349N","8676N","8877E","10104E","10659E","13646E","19217E","21517E","17613N","15597E","173470","13922E","23189E","20869N","19612E","13361E","13774E","9816N","91010","101190","81270","92610","123230","111000","10133N","94890","77020","163260","16451N","134830","135860","155690","151780","149360","153680","160520","15870N","182830","19955.8660","23950.8760","259110","24015.203E"
"37","45","Common prawn","Palaemon serratus","00","00","00","00","00","00","00","00","00","00","00","00","00","00","0N","0N","0N","0N","1000","0N","0N","0N","20","40","30","970","30","100","00","00","00","10","10","40","10","50","00","40","50","60","10","10","10","50","0N","37N","40N","35N","89N","90","00","00","970","260","00","230","150","110","310","220","16N","170","130","130","150","21N","96N","420","8N","8.110"
"37","57","Common cuttlefish","Sepia officinalis","20000","15000","16000","2000N","2100N","2000N","2600N","2600N","2500N","3800N","5000N","5000N","46000","48000","54000","85000","38000","39000","53000","38000","830N","735N","1055N","1893N","16770","19990","35970","23170","23220","24440","24550","26520","34640","30610","40420","54840","6062E","8219E","126190","141930","13038E","8616E","10380N","9833E","9762E","7737N","77120","107450","85020","106500","89840","9944N","123240","117640","102180","98260","102930","109010","88030","91310","10140E","10551E","12129E","11110E","9060E","8635E","9454.862000000001E","11226.253E","11848E","11761.707E"
"37","57","Common squids nei","Loligo spp","27000","26000","29000","28000","34000","40000","41000","45000","44000","48000","68000","75000","62000","63000","75000","9500N","98000","88000","78000","75000","83030","87490","7926N","66430","69840","71310","67010","69050","76760","77780","79090","66810","54960","62500","72030","77800","8130E","8297E","106040","111610","10588E","8196E","7936E","7632E","8382E","7985E","75910","65790","46900","4662E","4490E","4499E","44250","38770","46550","57230","60040","54560","54360","57600","5593E","5083E","4673E","4274E","5071E","4213E","4464.326E","4935.335E","5181E","4283.09E"
"37","36","Albacore","Thunnus alalunga","0N","0N","0N","0N","00","00","00","00","00","00","00","00","00","00","00","5000","5000","5000","5000","500N","500N","500N","7010","5000","5000","5000","8820","6130","5900","8330","5000","15000","12720","12350","34140","41290","37120","39930","40630","40600","18960","23780","22020","21300","13490","1587N","3125N","25410","26980","48510","55780","48660","56080","79080","49140","3779N","6080N","65660","29700","4037N","2144N","4637N","2047N","1502N","2401N","38170","43960","31800","28720","2688.4580"
"37","37","Atlantic chub mackerel","Scomber colias","18000","15000","13000","800N","10000","900N","6000","700N","8000","800N","1100N","1200N","13000","14000","2000N","2200N","1500N","2300N","25000","24000","24700","24820","1959N","13690","17040","18290","34780","38520","44070","53890","68210","81240","122500","9197E","10795E","27873E","32648E","38776E","37505E","32952E","25219E","21278E","24241E","31086E","35100E","28712E","21290E","20903E","16570E","17598E","16848E","10751E","9449N","14121N","18633E","15898E","13672E","112750","11686E","84640","75460","77850","69670","8533N","8470N","9555N","11440N","14152E","12269N","11154.89E"
"37","57","Common octopus","Octopus vulgaris","3700N","3700N","3800N","3800N","50000","58000","56000","62000","89000","80000","73000","76000","60000","58000","9100N","9100N","10700N","93000","101000","97000","85670","82940","9823N","9147N","100540","130460","130540","133530","137990","126390","140950","131420","128120","140980","153130","161190","18281E","20418E","260330","225900","200290","20848E","233500","192660","161170","165260","172090","193460","167430","133930","145570","153780","159670","142580","157150","128570","116860","10664E","8131E","8947E","10205E","10627E","10215E","9927N","10017N","93740","95150","9972N","12026N","14784.6E"
"37","24","Pontic shad","Alosa pontica","23000","33000","21000","27000","10000","15000","21000","16000","26000","29000","17000","29000","19000","13000","16000","33000","4200N","2900N","1100N","1000N","15020","11070","10040","16520","28030","37420","11160","7090","3330","5830","4940","4730","13180","7880","8630","2690","810","1280","3090","4220","1030","270","1140","860","35E","1260","1310","820","1530","480","15N","210","1120","680","1150","1250","590","710","1100","1500","1410","1530","920","1110","950","1570","2130","2350","3120","298.474999999999970"
